var	cid	val
target	cid0	1
target	cid1	1
target	cid2	0
target	cid3	1
target	cid4	0
target	cid5	1
target	cid6	0
target	cid7	0
target	cid8	0
target	cid9	0
target	cid10	0
target	cid11	0
target	cid12	0
target	cid13	1
target	cid14	0
target	cid15	0
target	cid16	0
target	cid17	0
target	cid18	0
target	cid19	0
target	cid20	1
target	cid21	0
target	cid22	1
target	cid23	1
target	cid24	0
target	cid25	1
target	cid26	0
target	cid27	0
target	cid28	0
target	cid29	0
target	cid30	1
target	cid31	1
target	cid32	1
target	cid33	0
target	cid34	0
target	cid35	0
target	cid36	1
target	cid37	1
target	cid38	0
target	cid39	1
target	cid40	0
target	cid41	0
target	cid42	1
target	cid43	1
target	cid44	0
target	cid45	0
target	cid46	0
target	cid47	1
target	cid48	1
target	cid49	0
target	cid50	0
target	cid51	0
target	cid52	0
target	cid53	1
target	cid54	0
target	cid55	0
target	cid56	0
target	cid57	0
target	cid58	1
target	cid59	0
target	cid60	0
target	cid61	0
target	cid62	1
target	cid63	0
target	cid64	0
target	cid65	1
target	cid66	0
target	cid67	0
target	cid68	1
target	cid69	1
target	cid70	0
target	cid71	0
target	cid72	0
target	cid73	1
target	cid74	1
target	cid75	1
target	cid76	0
target	cid77	0
target	cid78	0
target	cid79	0
target	cid80	1
target	cid81	0
target	cid82	0
target	cid83	0
target	cid84	0
target	cid85	1
target	cid86	0
target	cid87	0
target	cid88	1
target	cid89	0
target	cid90	0
target	cid91	1
target	cid92	0
target	cid93	1
target	cid94	0
target	cid95	1
target	cid96	0
target	cid97	0
target	cid98	0
target	cid99	0
target	cid100	1
target	cid101	0
target	cid102	1
target	cid103	0
target	cid104	1
target	cid105	1
target	cid106	1
target	cid107	0
target	cid108	1
target	cid109	0
target	cid110	1
target	cid111	0
target	cid112	0
target	cid113	1
target	cid114	1
target	cid115	0
target	cid116	0
target	cid117	0
target	cid118	1
target	cid119	1
target	cid120	0
target	cid121	1
target	cid122	0
target	cid123	1
target	cid124	0
target	cid125	1
target	cid126	0
target	cid127	0
target	cid128	1
target	cid129	0
target	cid130	0
target	cid131	0
target	cid132	1
target	cid133	0
target	cid134	0
target	cid135	0
target	cid136	0
target	cid137	1
target	cid138	1
target	cid139	1
target	cid140	0
target	cid141	0
target	cid142	1
target	cid143	0
target	cid144	0
target	cid145	0
target	cid146	0
target	cid147	0
target	cid148	0
target	cid149	0
target	cid150	1
target	cid151	0
target	cid152	1
target	cid153	1
target	cid154	1
target	cid155	0
target	cid156	1
target	cid157	1
target	cid158	1
target	cid159	1
target	cid160	1
target	cid161	0
target	cid162	1
target	cid163	1
target	cid164	0
target	cid165	1
target	cid166	0
target	cid167	1
target	cid168	1
target	cid169	0
target	cid170	0
target	cid171	0
target	cid172	0
target	cid173	0
target	cid174	1
target	cid175	0
target	cid176	0
target	cid177	1
target	cid178	0
target	cid179	0
target	cid180	0
target	cid181	0
target	cid182	0
target	cid183	0
target	cid184	0
target	cid185	1
target	cid186	0
target	cid187	1
target	cid188	0
target	cid189	0
target	cid190	1
target	cid191	0
target	cid192	0
target	cid193	1
target	cid194	0
target	cid195	0
target	cid196	1
target	cid197	0
target	cid198	0
target	cid199	1
target	cid200	1
target	cid201	0
target	cid202	1
target	cid203	0
target	cid204	1
target	cid205	0
target	cid206	0
target	cid207	0
target	cid208	1
target	cid209	0
target	cid210	0
target	cid211	0
target	cid212	1
target	cid213	0
target	cid214	0
target	cid215	0
target	cid216	1
target	cid217	0
target	cid218	1
target	cid219	0
target	cid220	1
target	cid221	0
target	cid222	0
target	cid223	0
target	cid224	1
target	cid225	0
target	cid226	0
target	cid227	0
target	cid228	0
target	cid229	0
target	cid230	1
target	cid231	0
target	cid232	0
target	cid233	0
target	cid234	0
target	cid235	1
target	cid236	0
target	cid237	0
target	cid238	1
target	cid239	0
target	cid240	0
target	cid241	0
target	cid242	0
target	cid243	0
target	cid244	1
target	cid245	1
target	cid246	1
target	cid247	1
target	cid248	0
target	cid249	0
target	cid250	0
target	cid251	0
target	cid252	1
target	cid253	1
target	cid254	0
target	cid255	1
target	cid256	0
target	cid257	1
target	cid258	0
target	cid259	0
target	cid260	1
target	cid261	1
target	cid262	1
target	cid263	0
target	cid264	1
target	cid265	1
target	cid266	1
target	cid267	0
target	cid268	1
target	cid269	1
target	cid270	0
target	cid271	0
target	cid272	0
target	cid273	0
target	cid274	0
target	cid275	0
target	cid276	0
target	cid277	0
target	cid278	0
target	cid279	1
target	cid280	1
target	cid281	0
target	cid282	1
target	cid283	0
target	cid284	1
target	cid285	0
target	cid286	1
target	cid287	1
target	cid288	0
target	cid289	0
target	cid290	1
target	cid291	1
target	cid292	0
target	cid293	0
target	cid294	0
target	cid295	0
target	cid296	1
target	cid297	0
target	cid298	0
target	cid299	1
target	cid300	1
target	cid301	0
target	cid302	1
target	cid303	1
target	cid304	0
target	cid305	1
target	cid306	1
target	cid307	0
target	cid308	1
target	cid309	1
target	cid310	0
target	cid311	0
target	cid312	0
target	cid313	1
target	cid314	0
target	cid315	0
target	cid316	0
target	cid317	0
target	cid318	0
target	cid319	0
target	cid320	0
target	cid321	0
target	cid322	0
target	cid323	1
target	cid324	0
target	cid325	0
target	cid326	0
target	cid327	1
target	cid328	1
target	cid329	1
target	cid330	0
target	cid331	0
target	cid332	0
target	cid333	1
target	cid334	0
target	cid335	0
target	cid336	1
target	cid337	0
target	cid338	0
target	cid339	0
target	cid340	0
target	cid341	0
target	cid342	1
target	cid343	0
target	cid344	1
target	cid345	0
target	cid346	0
target	cid347	1
target	cid348	1
target	cid349	1
target	cid350	0
target	cid351	0
target	cid352	0
target	cid353	1
target	cid354	0
target	cid355	1
target	cid356	0
target	cid357	0
target	cid358	0
target	cid359	1
target	cid360	0
target	cid361	0
target	cid362	1
target	cid363	1
target	cid364	0
target	cid365	1
target	cid366	0
target	cid367	1
target	cid368	0
target	cid369	1
target	cid370	1
target	cid371	0
target	cid372	1
target	cid373	1
target	cid374	0
target	cid375	0
target	cid376	0
target	cid377	1
target	cid378	0
target	cid379	0
target	cid380	0
target	cid381	0
target	cid382	0
target	cid383	1
target	cid384	0
target	cid385	1
target	cid386	0
target	cid387	0
target	cid388	0
target	cid389	1
target	cid390	0
target	cid391	1
target	cid392	1
target	cid393	1
target	cid394	1
target	cid395	0
target	cid396	1
target	cid397	1
target	cid398	0
target	cid399	0
target	cid400	1
target	cid401	1
target	cid402	1
target	cid403	1
target	cid404	0
target	cid405	0
target	cid406	1
target	cid407	0
target	cid408	0
target	cid409	1
target	cid410	0
target	cid411	0
target	cid412	0
target	cid413	1
target	cid414	0
target	cid415	0
target	cid416	1
target	cid417	0
target	cid418	0
target	cid419	0
target	cid420	1
target	cid421	0
target	cid422	0
target	cid423	0
target	cid424	0
target	cid425	1
target	cid426	0
target	cid427	0
target	cid428	1
target	cid429	0
target	cid430	0
target	cid431	0
target	cid432	0
target	cid433	0
target	cid434	0
target	cid435	1
target	cid436	0
target	cid437	0
target	cid438	0
target	cid439	0
target	cid440	0
target	cid441	0
target	cid442	1
target	cid443	1
target	cid444	1
target	cid445	0
target	cid446	0
target	cid447	0
target	cid448	0
target	cid449	0
target	cid450	1
target	cid451	0
target	cid452	0
target	cid453	0
target	cid454	1
target	cid455	1
target	cid456	0
target	cid457	0
target	cid458	0
target	cid459	1
target	cid460	0
target	cid461	1
target	cid462	1
target	cid463	0
target	cid464	1
target	cid465	1
target	cid466	0
target	cid467	0
target	cid468	1
target	cid469	1
target	cid470	0
target	cid471	0
target	cid472	0
target	cid473	1
target	cid474	0
target	cid475	0
target	cid476	0
target	cid477	0
target	cid478	1
target	cid479	1
target	cid480	1
target	cid481	0
target	cid482	1
target	cid483	0
target	cid484	1
target	cid485	0
target	cid486	1
target	cid487	1
target	cid488	0
target	cid489	0
target	cid490	1
target	cid491	1
target	cid492	0
target	cid493	0
target	cid494	0
target	cid495	0
target	cid496	1
target	cid497	0
target	cid498	1
target	cid499	1
target	cid500	0
target	cid501	0
target	cid502	0
target	cid503	1
target	cid504	0
target	cid505	1
target	cid506	0
target	cid507	1
target	cid508	0
target	cid509	1
target	cid510	0
target	cid511	0
target	cid512	1
target	cid513	0
target	cid514	1
target	cid515	1
target	cid516	0
target	cid517	1
target	cid518	0
target	cid519	0
target	cid520	1
target	cid521	0
target	cid522	0
target	cid523	0
target	cid524	1
target	cid525	0
target	cid526	0
target	cid527	0
target	cid528	0
target	cid529	0
target	cid530	0
target	cid531	0
target	cid532	0
target	cid533	1
target	cid534	1
target	cid535	0
target	cid536	1
