Country,2015
Iran (Islamic Republic of),0.774
Eritrea,0.42
Fiji,0.736
Grenada,0.754
Sierra Leone,0.42
Netherlands,0.924
Dominica,0.726
Congo,0.592
Turkmenistan,0.692
Ethiopia,0.448
Nigeria,0.527
Israel,0.899
Mozambique,0.418
South Sudan,0.418
Zambia,0.579
Iceland,0.921
Viet Nam,0.683
Mauritius,0.781
The former Yugoslav Republic of Macedonia,0.748
Cuba,0.775
Burkina Faso,0.402
Bangladesh,0.579
Belize,0.706
Guyana,0.638
Norway,0.949
Singapore,0.925
Mauritania,0.513
Ecuador,0.739
Jordan,0.742
Venezuela (Bolivarian Republic of),0.767
Swaziland,0.541
Armenia,0.743
Morocco,0.647
Ghana,0.579
Sao Tome and Principe,0.574
Chad,0.396
Pakistan,0.55
Belgium,0.896
Liberia,0.427
Germany,0.926
Papua New Guinea,0.516
Benin,0.485
Djibouti,0.473
Comoros,0.498
Antigua and Barbuda,0.786
United States,0.92
Paraguay,0.693
Palau,0.788
India,0.624
Burundi,0.404
Syrian Arab Republic,0.536
Bhutan,0.607
Slovenia,0.89
Cameroon,0.518
Bulgaria,0.794
Korea (Republic of),0.901
Philippines,0.682
Kazakhstan,0.794
Spain,0.884
Italy,0.887
New Zealand,0.915
United Kingdom,0.91
Tunisia,0.725
Barbados,0.795
Ukraine,0.743
Bolivia (Plurinational State of),0.674
Timor-Leste,0.606
Mali,0.442
Honduras,0.625
Malta,0.856
Sweden,0.913
Trinidad and Tobago,0.78
Brunei Darussalam,0.865
Kenya,0.555
El Salvador,0.68
Brazil,0.754
Samoa,0.704
Nicaragua,0.645
Central African Republic,0.352
Niger,0.353
Angola,0.533
Lao People's Democratic Republic,0.586
Malawi,0.476
Senegal,0.494
Albania,0.764
Oman,0.796
Gabon,0.697
Uganda,0.493
Argentina,0.827
Seychelles,0.782
Ireland,0.923
Sri Lanka,0.766
Dominican Republic,0.722
Guatemala,0.64
Slovakia,0.845
Croatia,0.827
South Africa,0.666
Indonesia,0.689
Kiribati,0.588
Poland,0.855
Russian Federation,0.804
Australia,0.939
Switzerland,0.939
Suriname,0.725
Sudan,0.49
Montenegro,0.807
Saint Lucia,0.735
Qatar,0.856
Finland,0.895
Uzbekistan,0.701
France,0.897
Uruguay,0.795
Latvia,0.83
Afghanistan,0.479
Moldova (Republic of),0.699
Cote d'Ivoire,0.474
Azerbaijan,0.759
Algeria,0.745
Zimbabwe,0.516
Romania,0.802
Lithuania,0.848
Libya,0.716
Mongolia,0.735
Greece,0.866
Saint Kitts and Nevis,0.765
Togo,0.487
Thailand,0.74
Cabo Verde,0.648
Liechtenstein,0.912
United Arab Emirates,0.84
Turkey,0.767
Tonga,0.721
Austria,0.893
Bahamas,0.792
Madagascar,0.512
Tajikistan,0.627
Iraq,0.649
Hungary,0.836
Vanuatu,0.597
Kuwait,0.8
Maldives,0.701
Equatorial Guinea,0.592
Mexico,0.762
Tanzania (United Republic of),0.531
Serbia,0.776
Haiti,0.493
Yemen,0.482
Rwanda,0.498
