Country,Action taken on climate change,Better transport and roads,Support for people who can't work,Access to clean water and sanitation,Better healthcare,A good education,A responsive government we can trust,Phone and internet access,Reliable energy at home,Affordable and nutritious food,Protecting forests rivers and oceans,Protection against crime and violence,Political freedoms,Freedom from discrimination and persecution,Equality between men and women,Better job opportunities
Iran (Islamic Republic of),0.049136084,0.052920063,0.070921788,0.050944604,0.070615731,0.088450516,0.074427534,0.06953062,0.053560001,0.056342339,0.053587824,0.059263793,0.056787513,0.057483097,0.065023233,0.071005259
Eritrea,0.017241379,0.040229885,0.051724138,0.063218391,0.074712644,0.103448276,0.091954023,0.017241379,0.040229885,0.068965517,0.051724138,0.068965517,0.051724138,0.103448276,0.091954023,0.063218391
Fiji,0.047920792,0.047029703,0.053663366,0.055841584,0.098019802,0.121485149,0.077425743,0.033762376,0.031881188,0.062772277,0.050990099,0.066435644,0.037425743,0.046930693,0.051089109,0.117326733
Grenada,0.055555556,0.022222222,0.051851852,0.066666667,0.107407407,0.125925926,0.07037037,0.022222222,0.02962963,0.088888889,0.048148148,0.074074074,0.022222222,0.040740741,0.055555556,0.118518519
Sierra Leone,0.018635855,0.065970928,0.046216921,0.083861349,0.122623928,0.133432725,0.078270593,0.032799105,0.039880731,0.057398435,0.020126724,0.05926202,0.035408125,0.046589638,0.046962356,0.112560567
Netherlands,0.079971117,0.009296868,0.025588952,0.096308331,0.063543641,0.107636068,0.084709811,0.020173301,0.019180431,0.076811987,0.098113548,0.065935554,0.060565033,0.080738334,0.075954509,0.035472516
Dominica,0.061904762,0.023809524,0.057142857,0.057142857,0.1,0.114285714,0.080952381,0.019047619,0.033333333,0.061904762,0.09047619,0.071428571,0.047619048,0.052380952,0.033333333,0.095238095
Congo,0.036096257,0.041109626,0.053475936,0.07052139,0.105614973,0.138368984,0.044117647,0.052139037,0.038435829,0.07118984,0.033756684,0.069184492,0.03776738,0.052807487,0.052473262,0.102941176
Turkmenistan,0.04206501,0.017208413,0.04206501,0.059273423,0.126195029,0.137667304,0.103250478,0.049713193,0.030592734,0.040152964,0.059273423,0.06500956,0.051625239,0.051625239,0.049713193,0.07456979
Ethiopia,0.050742972,0.049012703,0.048178,0.062124492,0.08720905,0.10196416,0.07725348,0.060481171,0.030484041,0.04794324,0.049525698,0.057133665,0.07021937,0.060002956,0.059237812,0.088487188
Nigeria,0.02623904,0.076951593,0.052880569,0.060403926,0.107643438,0.127702698,0.068414398,0.045776178,0.059126073,0.064481042,0.029300204,0.041538204,0.068573453,0.034514522,0.031097442,0.105357219
Israel,0.043071161,0.033083645,0.039950062,0.066167291,0.074906367,0.116729089,0.082084894,0.033395755,0.027465668,0.072097378,0.060237203,0.092072409,0.056179775,0.078651685,0.061173533,0.062734082
Mozambique,0.029080119,0.058852621,0.0512364,0.0743818,0.090504451,0.106824926,0.077843719,0.040158259,0.038476756,0.056181998,0.049851632,0.090009891,0.041147379,0.059643917,0.053214639,0.082591494
South Sudan,0.048192771,0.046184739,0.048192771,0.092369478,0.108433735,0.120481928,0.080321285,0.02811245,0.022088353,0.062248996,0.052208835,0.068273092,0.040160643,0.072289157,0.0562249,0.054216867
Zambia,0.024322697,0.056351595,0.071478025,0.081998796,0.138651415,0.152618904,0.057405178,0.024006623,0.035972306,0.063832029,0.023058399,0.040156532,0.028266105,0.029078868,0.030689344,0.142113185
Iceland,0.055555556,0.028097063,0.036398467,0.077266922,0.067049808,0.109833972,0.090676884,0.029374202,0.028097063,0.070242656,0.065772669,0.070881226,0.049808429,0.065772669,0.105363985,0.049808429
Viet Nam,0.066526295,0.060761017,0.043715847,0.053692285,0.096004412,0.123677746,0.08437359,0.029127187,0.024916027,0.046372888,0.074898481,0.079661102,0.033187948,0.051837369,0.055797864,0.075449942
Mauritius,0.047876448,0.028725869,0.029343629,0.070733591,0.081698842,0.119073359,0.09034749,0.038918919,0.024555985,0.086023166,0.0596139,0.099150579,0.021930502,0.052355212,0.057297297,0.092355212
The former Yugoslav Republic of Macedonia,0.060150376,0.038668099,0.032760473,0.05424275,0.095596133,0.11546724,0.091299678,0.024167562,0.027389903,0.058002148,0.062835661,0.055316864,0.062298604,0.061761547,0.054779807,0.105263158
Cuba,0.060471976,0.022123894,0.032448378,0.060471976,0.089970501,0.100294985,0.088495575,0.05899705,0.019174041,0.101769912,0.053097345,0.05899705,0.066371681,0.060471976,0.051622419,0.075221239
Burkina Faso,0.045130641,0.039904988,0.042438638,0.090419636,0.114806017,0.127790974,0.080918448,0.034204276,0.031670625,0.074584323,0.042280285,0.067458432,0.043863816,0.042913698,0.03594616,0.085669042
Bangladesh,0.047312507,0.054626595,0.050622013,0.054286955,0.078077485,0.111133052,0.087618972,0.055290075,0.03526717,0.057004068,0.042573358,0.071521662,0.049729474,0.053805142,0.056143122,0.09498835
Belize,0.048039216,0.039215686,0.046078431,0.071568627,0.089215686,0.100980392,0.082352941,0.033333333,0.02745098,0.07254902,0.065686275,0.085294118,0.037254902,0.064705882,0.051960784,0.084313725
Guyana,0.050678733,0.030769231,0.021719457,0.057918552,0.090497738,0.107692308,0.094117647,0.029864253,0.044343891,0.066968326,0.046153846,0.098642534,0.043438914,0.066968326,0.05520362,0.095022624
