Country,Action taken on climate change,Better transport and roads,Support for people who can't work,Access to clean water and sanitation,Better healthcare,A good education,A responsive government we can trust,Phone and internet access,Reliable energy at home,Affordable and nutritious food,Protecting forests rivers and oceans,Protection against crime and violence,Political freedoms,Freedom from discrimination and persecution,Equality between men and women,Better job opportunities
Afghanistan,0.0382025559984,0.0511199670194,0.0571664147313,0.0555173835372,0.0854747835647,0.110897347808,0.0858870413632,0.0529064174797,0.0443864229765,0.0535935138106,0.0461728734369,0.075855434932,0.0526315789474,0.0482341624296,0.050845128487,0.0911089734781
Albania,0.0291005291005,0.0686728395062,0.042328042328,0.0400132275132,0.119102733686,0.113315696649,0.0962301587302,0.0216600529101,0.0303681657848,0.0752865961199,0.0520833333333,0.0967813051146,0.0283840388007,0.0378086419753,0.0429894179894,0.105875220459
Algeria,0.0316930775646,0.0556416061003,0.0652130743874,0.0400333611343,0.107947098773,0.125501409905,0.0837999920569,0.0379681480599,0.0312164899321,0.0578259660828,0.055323881012,0.0895587592835,0.037173835339,0.0499225545097,0.0437666309226,0.0874141149371
Andorra,0.0496598639456,0.0462585034014,0.0646258503401,0.0761904761905,0.0795918367347,0.0863945578231,0.069387755102,0.056462585034,0.0462585034014,0.0721088435374,0.0612244897959,0.0530612244898,0.056462585034,0.0469387755102,0.0571428571429,0.078231292517
Angola,0.0469890510949,0.0460766423358,0.0556569343066,0.0834854014599,0.0807481751825,0.110857664234,0.0711678832117,0.0510948905109,0.0433394160584,0.0597627737226,0.0469890510949,0.0734489051095,0.0424270072993,0.0625,0.0456204379562,0.0798357664234
Antigua and Barbuda,0.0608974358974,0.0459401709402,0.0619658119658,0.0747863247863,0.0876068376068,0.0918803418803,0.0694444444444,0.0619658119658,0.0491452991453,0.0865384615385,0.0566239316239,0.0608974358974,0.0438034188034,0.0320512820513,0.0405982905983,0.0758547008547
Argentina,0.058833544872,0.0212983314243,0.0292078135158,0.0878246602483,0.0776088908151,0.13450763087,0.101910039315,0.0148283441166,0.0235272265734,0.0933659412438,0.0765099216791,0.0885211899824,0.034826486704,0.0501656192923,0.0417917840448,0.0652725753026
Armenia,0.0435871743487,0.0506012024048,0.0511022044088,0.0571142284569,0.0921843687375,0.108216432866,0.0921843687375,0.0295591182365,0.0315631262525,0.0666332665331,0.064629258517,0.0681362725451,0.0546092184369,0.0485971943888,0.0511022044088,0.0901803607214
Australia,0.045183862279,0.0315522894953,0.040022250849,0.0795819182574,0.0736122496779,0.110495959714,0.0736005387048,0.045927509076,0.0408888628645,0.0894923293126,0.0731320997775,0.0543681929968,0.0511388921419,0.0659708396768,0.0642873872819,0.0607448178944
Austria,0.0719923463286,0.0157856972016,0.0308538627123,0.0956708921311,0.0656541497249,0.119349437934,0.0802439607749,0.0224826596508,0.0242764888783,0.0740253527864,0.0782109543171,0.0650562066491,0.0638603204975,0.0810810810811,0.0681655106434,0.0432910786893
